,Unnamed: 0.1,Unnamed: 0,id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,review rate number,calculated host listings count,availability 365,house_rules,availability_365
10,10,97313,54747306,2br apt for rent daily 10min away in train to City,583150674,verified,Fernando,Brooklyn,Bushwick,40.69752,-73.93497,United States,US,False,flexible,Entire home/apt,2010.0,976,$195 ,2.0,5.0,3.0,1.0,128.0,"- No smoking.  - Maximum of 2 people  - Sorry, no children. (I love kids, but this is a very quiet building. It's all young professionals.  - Please be quiet and respectful of others in the building (no loud music/tv,   - Please dispose of baby wipes and/or tampons in the waste basket, not in the toilet. (the pipes are old and clog easily – last time baby wipes had to be removed from the pipes, the plumbing bill was $350!).",128.0
11,11,93182,52465755,Spacious bright room in 2 bedroom apartment,58425267242,verified,Yaakov,Brooklyn,Crown Heights,40.66505,-73.95445,United States,US,False,flexible,Private room,2014.0,851,$170 ,3.0,1.0,3.0,2.0,0.0,,0.0
12,12,32364,18875973,Bushwick Room with a View,41365510022,verified,Shadi,Brooklyn,Bushwick,40.69928,-73.92386,United States,US,False,flexible,Private room,2009.0,149,$30 ,2.0,20.0,2.0,1.0,0.0,"- NO parties or events. -NO smoking inside. You are welcome to smoke outside. -We ask guests to maintain a low noise level after 10pm and be respectful of noise levels during the day. You are welcome to have a few friends over for dinner but no loud music. -NOTHING but toilet paper and human waste in the toilet.  -Hair dyeing are not allowed in the apartment as the wood, furniture and bathroom sink can stain very easily. -All overnight guests must be booked through Airbnb. If you plan to have visitors during your stay, please check with us beforehand.  -All overnight guests must be booked through Airbnb.  Enjoy yourself!  Ask us for anything you may need while you're here! We will do our best to help.",0.0
13,13,38491,22259915,Beautiful Central 2 Bedroom in Soho!,21725101133,verified,Alex,Manhattan,SoHo,40.72607,-74.00166,United States,US,False,moderate,Entire home/apt,2004.0,599,$120 ,4.0,2.0,4.0,1.0,156.0,"Absolutely not smoking in the house. I am looking for easy going people, not for party people. This is a quiet neighborhood. People who can take care of our stuff.",156.0
14,14,72510,41048609,Comfy garden level room at Brooklyn&Breakfast,26378649835,unconfirmed,Brooklyn&   Breakfast    -Len-,Brooklyn,Prospect Heights,40.678,-73.97118,United States,US,False,flexible,Private room,2020.0,1100,$220 ,1.0,186.0,1.0,13.0,293.0,,293.0
15,15,83923,47352009,Brooklyn-NEW 2-Bdrm Apt in Clinton Hill,72863142878,unconfirmed,Greg,Brooklyn,Clinton Hill,40.69427,-73.96848,United States,US,True,strict,Entire home/apt,2021.0,1096,$219 ,2.0,57.0,3.0,1.0,77.0,"Don't do anything you wouldn't want done at your place. Our home is your home when you stay here. Smoking is not allowed indoors, but we have a balcony you can smoke on.",77.0
16,16,61152,34775586,Quiet Oasis in the Heart of Historical Harlem,30243056502,verified,Yusuf,Manhattan,Harlem,40.81619,-73.94094,United States,US,False,flexible,Entire home/apt,2015.0,589,$118 ,2.0,3.0,2.0,1.0,23.0,,23.0
17,17,101367,56986330,Charming 5 Bedroom House in Forest Hills NY,51596956106,unconfirmed,Maayan,Queens,Forest Hills,40.71848,-73.85025,,US,False,moderate,Entire home/apt,2008.0,304,$61 ,2.0,9.0,4.0,2.0,4.0,,4.0
18,18,24527,14547598,,33246535807,verified,Deborah,Manhattan,Harlem,40.81513,-73.95685,United States,US,True,flexible,Private room,2007.0,1106,$221 ,5.0,0.0,4.0,1.0,0.0,"•Parties or Gatherings are not permitted. •Please be courteous to the neighbors and keep noise levels low, especially between the hours of 10pm-10am. •Absolutely no smoking in the apartment. Smoking only on the back porch •Overnight guests are not permitted unless included on the initial reservation. •Please help us conserve energy by turning off lights, small appliances, lamps, etc. when not being used.  •Please store recyclables separately. •Pets are not permitted at any time. •If you need flexibility around the specified check in or check out times, let us know in advance. •Owner is NOT responsible for any accidents, injuries or illness that occurs while on the premises or its facilities.",0.0
19,19,53217,30393085,"Modern, Carroll Garden Townhouse",89592363028,verified,Jana,Brooklyn,Carroll Gardens,40.68272,-73.99204,United States,US,True,moderate,Entire home/apt,2016.0,175,$35 ,3.0,63.0,5.0,2.0,29.0,,29.0
20,20,62791,35680805,Brand new Manhattan Apartment sleeps 7!,52605989233,verified,Rachel,Manhattan,Upper West Side,40.80372,-73.96908,United States,US,False,strict,Entire home/apt,2019.0,773,$155 ,30.0,17.0,5.0,4.0,130.0,,130.0
21,21,16837,10300411,Stunning 1 Bedroom Apt with Indoor Pool,92698313931,verified,Kara,Manhattan,Hell's Kitchen,40.76112,-73.99893,United States,US,True,flexible,Entire home/apt,2015.0,1069,$214 ,30.0,0.0,5.0,121.0,269.0,,269.0
22,22,43098,24804361,Cozy&Charming NYC style apt in the heart of SoHo,85794672272,unconfirmed,Alex,Manhattan,Nolita,40.72394,-73.99583,United States,US,True,strict,Entire home/apt,2022.0,373,$75 ,1.0,19.0,3.0,1.0,121.0,,121.0
23,23,77007,43532302,A Stunning Private 1 Bedroom in Downtown Flushing,90196176642,unconfirmed,Alan,Queens,Flushing,40.76092,-73.82194,United States,US,False,flexible,Entire home/apt,2014.0,596,$119 ,30.0,4.0,5.0,15.0,7.0,"Please strip the beds when you leave, lock the doors, and close the windows.  Please respect our home! Thank you.",7.0
24,24,95374,53676396,Big bright room with private entrance,31547794673,unconfirmed,Shelley,Brooklyn,Greenpoint,40.72678,-73.95087,United States,US,False,strict,Private room,2015.0,164,$33 ,1.0,29.0,2.0,2.0,4.0,There is no parking on my street for guests. You must park on the adjacent streets. No Smoking in the unit.  We have a dog named Daphne so no other pets allowed. We are an active family and might not be available during your stay. Lock the door when you come and go. Leave the room as you found it. Let me know if you have any issues or questions.,4.0
25,25,18350,11136041,Cozy private bdrm in Manhattan near Subway Station,82728875258,unconfirmed,Sheila & Tony,Manhattan,East Harlem,40.79105,-73.94376,United States,US,False,moderate,Private room,2005.0,1063,$213 ,2.0,123.0,1.0,1.0,64.0,Must be 21 to book No loud music No parties No smoking No pets,64.0
26,26,21490,12870263,"Cozy, neat, spacious 2 BR apartment in East Harlem",43603000518,unconfirmed,Gonda,Manhattan,East Harlem,40.80268,-73.94051,United States,US,True,flexible,Entire home/apt,2012.0,552,$110 ,10.0,28.0,1.0,1.0,0.0,"1. No damage to the house or furniture 2. No Smoking, No Pets, No Drugs 3. No more sleepover people then you booked 4. Keep quiet after 11:00 PM 5. Be respectful to neighbors 6. Keep the kitchen clean after used 7. Keep the bathroom clean after used 8. Check-in: 3PM, Check-out: 11:00AM",0.0
27,27,59140,33664358,Spacious West Harlem Gem with breath taking views!,28106685064,verified,August,Manhattan,Harlem,40.8212,-73.95721,United States,US,True,flexible,Entire home/apt,2007.0,123,$25 ,4.0,2.0,4.0,2.0,0.0,,0.0
28,28,89255,50296873,NYC Elegance steps 2 Central Park see all pictures,16304325847,verified,Wendy,Manhattan,Upper East Side,40.76346,-73.96684,United States,US,False,flexible,Entire home/apt,2018.0,255,$51 ,4.0,83.0,3.0,1.0,104.0,,104.0
29,29,39654,22902240,comfortable room with cheap fee,11739072792,unconfirmed,Xiao,Manhattan,Financial District,40.70612,-74.01585,United States,US,False,flexible,Private room,2020.0,968,$194 ,3.0,0.0,5.0,1.0,133.0,#NAME?,133.0
30,30,14614,9072648,Hudson COLUMBIA PRESBYTERIAN MED CTR * Studio Apt*,70192957398,verified,Juliana,Manhattan,Washington Heights,40.84077,-73.93924,United States,US,True,flexible,Entire home/apt,2020.0,621,$124 ,30.0,6.0,1.0,34.0,38.0,You have a private room but sounds should be moderate for me and the neighbors  Quiet at 11pm   No Pets  No Parties  No Smoking,38.0
31,31,50180,28715750,"Private room , (side entrance)",1741780923,verified,Jose Guido,Queens,St. Albans,40.69394117,-73.75159618,United States,US,True,flexible,Private room,2018.0,288,$58 ,1.0,3.0,4.0,1.0,359.0,,359.0
32,32,102355,20345644,Huge Industrial Chic Williamsburg 1 Bdrm w/rooftop,39311001873,verified,Rachel,Brooklyn,Williamsburg,40.72018,-73.9573,United States,US,False,flexible,Entire home/apt,2018.0,640,$128 ,1.0,20.0,5.0,1.0,44.0,I except guest to be respectful of my home and follow my house rules.,44.0
33,33,18205,11055958,Apt 2or3 bedr for 4 or more guests in Williamsburg,60361538462,verified,Franco,Brooklyn,Williamsburg,40.71036,-73.95477,United States,US,True,moderate,Entire home/apt,2015.0,153,$31 ,2.0,115.0,2.0,2.0,82.0,#NAME?,82.0
34,34,32263,18820191,The Guesthouse Loft,68080348601,unconfirmed,Alexandra,Manhattan,Upper East Side,40.77288,-73.94745,United States,US,True,flexible,Entire home/apt,2022.0,803,$161 ,7.0,0.0,2.0,1.0,5.0,,5.0
35,35,90388,50922628,Luxurious Studio In heart of NYC!,47669030970,unconfirmed,Amit,Manhattan,Theater District,40.75527,-73.98507,United States,US,False,flexible,Entire home/apt,2014.0,1014,$203 ,2.0,5.0,2.0,1.0,0.0,"We expect our guests to be respectful of our space, belongings and neighbors. Check out time is 11am and Check in time is 3pm.",0.0
36,36,11029,7092653,Room in 4 Bedroom Brooklyn Apt,70092503977,unconfirmed,Anthony,Brooklyn,Bushwick,40.68623,-73.91374,United States,US,False,moderate,Private room,2022.0,1166,$233 ,1.0,2.0,1.0,26.0,107.0,"You will be sharing a bathroom, so you must be considerate of time spent in the bathroom in the morning when getting ready. If you use the kitchen, please put the dirty cups, bowls, plates, and silverware in the dirty dishes tub, and hand wash all of the pots, pans, and cooking tools you use. Please clean up any mess you may have made. Remember to turn on the fan when using the stove or oven so the fire alarm does not go off from the steam! Please only smoke outside, away from the apartment building, and dispose of your cigarettes responsibly. Checkout: Checkout is at 11:00 am, please inquire if you would like to check out later or leave your bags with us for the day. If we are not awake/home when you leave, please leave the passes on the desk in your room, lock the front door behind you, and put your keys in the lock box behind the front stair case.",107.0
37,37,16799,10279424,Remsen Village Rental II,15051672582,unconfirmed,Dawn,Brooklyn,East Flatbush,40.65466,-73.9218,United States,US,False,flexible,Entire home/apt,2003.0,90,$18 ,4.0,89.0,2.0,2.0,151.0,,151.0
38,38,77445,43774210,"Small but cozy room in Roosevelt Island, Location!",93336034366,unconfirmed,Yandong,Manhattan,Roosevelt Island,40.76213,-73.94889,United States,US,True,flexible,Private room,2020.0,163,$33 ,2.0,1.0,3.0,1.0,0.0,"This is a quiet building of professionals (no student renters allowed), so those looking for a place to host large parties, please consider other options.",0.0
39,39,78555,44387263,RE - Budget Friendly room in the Greenpoint Area!,23479801122,verified,Max,Brooklyn,Greenpoint,40.73714,-73.95333,United States,US,True,flexible,Private room,2007.0,791,$158 ,2.0,62.0,4.0,3.0,0.0,,0.0
40,40,2313,2278806,Private room in Prime Soho/Nolita location,22307501050,verified,Sky,Manhattan,Nolita,40.72212,-73.99676,United States,US,False,flexible,Private room,2011.0,1042,$208 ,3.0,29.0,5.0,2.0,60.0,,60.0
41,41,76623,43320219,Cozy Quiet Upgraded Prvt Rm in House in the Slope!,98313953545,verified,Albert,Brooklyn,South Slope,40.66565,-73.99172,United States,US,False,flexible,Private room,2012.0,712,$142 ,1.0,30.0,5.0,1.0,297.0,"We like to keep things quiet and peaceful and expect that our guests will be respectful of our space and belongings. No smoking, no illegal substances.",297.0
42,42,37820,21889322,Brooklyn Loft with a Musical Soul,8162602731,unconfirmed,Ed,Brooklyn,Williamsburg,40.70469,-73.93878,United States,US,True,strict,Private room,2005.0,893,$179 ,1.0,14.0,2.0,1.0,355.0,"No smoking, please.",355.0
43,43,83249,46979759,Manhattan room with a fire escape!,57850051211,unconfirmed,Elina,Manhattan,Washington Heights,40.83636,-73.94487,United States,US,False,strict,Private room,2017.0,864,$173 ,2.0,81.0,2.0,1.0,11.0,No pets. No smoking. Please :),11.0
44,44,191,1106825,LUX APT IN TIMES SQUARE NEW BUILDING,93725364475,unconfirmed,Aiden,Manhattan,Hell's Kitchen,40.76307,-73.99665,United States,US,False,moderate,Entire home/apt,,539,$108 ,,41.0,2.0,1.0,,"You will be sharing a bathroom, so you must be considerate of time spent in the bathroom in the morning when getting ready. If you use the kitchen, please put the dirty cups, bowls, plates, and silverware in the dishwasher, and hand wash all of the pots, pans, and cooking tools you use. Please clean up any mess you may have made. Remember to turn on the fan when using the oven/stove. Please only smoke outside, away from the apartment building, and dispose of your cigarettes responsibly. Checkout: Checkout is at 11:00 am, please inquire if you would like to check out later or leave your bags with us for the day. If we are not awake/home when you leave, please leave the passes on the desk in your room, lock the front door behind you, and put your keys in the lock box behind the front stair case.",
45,45,58133,33108192,Beautiful 1200 sf 3 bedroom apt off Prospect Park,16905021553,unconfirmed,Sigi,Brooklyn,Prospect-Lefferts Gardens,40.65508,-73.9603,United States,US,True,moderate,Entire home/apt,2007.0,86,$17 ,7.0,14.0,2.0,3.0,22.0,,22.0
46,46,25772,15235212,2-Bedroom Presidential 1 - Wyndham Midtown 45,18434750369,unconfirmed,Aaron,Manhattan,Midtown,40.75371,-73.97226,United States,US,False,moderate,Entire home/apt,2022.0,819,$164 ,3.0,3.0,2.0,4.0,324.0,We expect from you just to respect the basic rules: no smoking and being careful with the house furniture and things.,324.0
47,47,33818,19679017,Big Private Room In the Heart of The East Village,51136122092,unconfirmed,Daniella,Manhattan,East Village,40.72785,-73.98684,United States,US,True,flexible,Private room,2018.0,1176,$235 ,2.0,19.0,2.0,2.0,32.0,"Please keep as clean as you can.  Please no shoes in the house.  Absolutely no smoking.  Also, the building association does not allow pets.",32.0
48,48,98983,55669647,Excellent Loc best value Midtown studio/nearMacy’s,51110618318,unconfirmed,Sanyam,Manhattan,Midtown,40.74971,-73.98682,United States,US,True,flexible,Entire home/apt,2020.0,1047,$209 ,2.0,6.0,5.0,1.0,0.0,"-Remove shoes -be sure to lock the front door when entering or leaving the house -be reasonably quiet during sleeping hours - clean up after yourself in common areas like kitchen and bathroom -Good communication is key - There may be other guests staying and you will be sharing the bathroom with the host and one other guest. Please tell me a little bit about yourself and your purpose for the trip. Are you traveling for work, visiting friends in this area, or a tourist on vacation? This is a friendly household, reasonably quiet. -We expect guests to be reasonably quiet coming in and out before (9AM and after 10PM.  -No smoking -No pets - For safety reasons please do not invite other people to our place.  -Ask if you need anything, I will be providing you with towels, shampoo, conditioner, body wash, lotion, hair dryer. Self serve breakfast items will be provided as well, Coffee, tea, milk, half and half, yogurt, english muffins, with jam and butter, fresh fruits, instant oatmeal, and ce",0.0
49,49,63580,36116570,Bohemian's  Designer room,40466926932,verified,Apollo,Manhattan,Lower East Side,40.72038,-73.98504,United States,US,True,flexible,Private room,2013.0,253,$51 ,13.0,38.0,5.0,4.0,221.0,,221.0
50,50,76622,43319667,Nice Room in Charming Apt.,73397027572,unconfirmed,Victor,Manhattan,Nolita,40.72228,-73.99582,United States,US,True,moderate,Shared room,2017.0,968,$194 ,1.0,8.0,3.0,4.0,0.0,"Hello there! Please only enter the front door of the building if I have let you in or you have been given the key beforehand.  Please leave the apartment and its contents in the same condition you found it. Please no one in the building or apartment except the registered guests.  This is a strict one.  Thanks for understanding! Please no eating or drinking on the sofa. (Also, please hand wash any dishes used.) Please walk gently in the apartment and observe quiet hours of 8pm-10am. It is an old building and sound transfers easily.  Definitely no smoking and/or any other ""substances"" on the premises. Sorry, none of the alcohol in the apartment is for guest consumption. Thank you for respecting the property and also my furnishings. This helps me offer nice things for consequent guests! Sorry for the litany of rules, but adhering to these will make everyone happy. I like to keep a calm & clean place. Thank you! Paul",0.0
51,51,29830,17476445,"Bright Williamsburg room, 1-stop from Manhattan",7264258897,unconfirmed,Emma,Brooklyn,Williamsburg,40.71998,-73.96141,United States,US,True,moderate,Private room,2006.0,958,$192 ,4.0,1.0,3.0,1.0,0.0,No smoking or pets.,0.0
52,52,70580,39982670,"Sunny, Quiet! Lovely 1 Bedroom in Prospect Heights",45439535539,unconfirmed,Zach,Brooklyn,Prospect Heights,40.67839,-73.96623,United States,US,True,moderate,Entire home/apt,2015.0,1197,$239 ,4.0,125.0,2.0,1.0,297.0,,297.0
53,53,87034,49070214,Lovely room close to subway in beautiful Astoria!,43389606308,verified,Suzanne,Queens,Long Island City,40.75353,-73.9289,United States,US,True,strict,Private room,2013.0,411,$82 ,2.0,16.0,5.0,1.0,0.0,"NO SMOKING, please stop smoking a block away so as not to bring smoke-filled lungs into the house, I'm highly sensitive, and it makes me feel sick. Please clean after yourself on an on-going basis, especially in the common areas. We recycle paper, glass, metal in a separate bin, and throw food, plastic bags, and wrappers into the normal trash, can you participate? This 100 year old building has character in the details, but might appear less clean. The wood work was painted white before I moved in. I consistently use bleach between guests, but the grooves have ""greyed"" overtime, and I haven't repainted yet. I hope you won't be that picky ;-) My end-of-stay cleaning fee is to cover my time and expenses washing, drying, changing the sheets and sanitizing the room in between guests. I don't do any daily cleaning (of your room, the bathroom or the kitchen).  I only clean in-between guests or when needed - I noticed I am not a clean freak, I go after the obvious (bread crumbs and slime) - s",0.0
54,54,25185,14911012,Comfortable convenient Williamsburg bedroom!,91320275883,verified,S.A.,Brooklyn,Williamsburg,40.70639,-73.95552,United States,US,False,strict,Private room,2017.0,798,$160 ,3.0,58.0,5.0,2.0,298.0,You will be very comfortable in our home but we ask that guests are respectful of the artwork that we have as we want to keep the place a fun place to hang out!  Please no smoking.,298.0
55,55,7150,4950281,Soothing Place in the City,95434586574,verified,Tara,Manhattan,East Village,40.72042,-73.97998,United States,US,True,moderate,Private room,2010.0,892,$178 ,10.0,14.0,5.0,4.0,108.0,"1. No damage to the house or furniture 2. No Smoking, No Pets, No Drugs 3. No more sleepover people then you booked 4. Keep quiet after 11:00 PM 5. Be respectful to neighbors 6. Keep the kitchen clean after used 7. Keep the bathroom clean after used 8. Check-in: 3PM, Check-out: 11:00AM",108.0
56,56,35821,20785274,Large one bedroom Apartment in Ditmas Park,4914668599,unconfirmed,Emilio,Brooklyn,Flatbush,40.63813,-73.96592,United States,US,True,strict,Entire home/apt,2018.0,1087,$217 ,5.0,3.0,4.0,2.0,231.0,Pet friendly but please confirm with me if the pet you are planning on bringing with you is OK. I have a cute and quiet mixed chihuahua. I could accept more guests (for an extra fee) but this also needs to be confirmed beforehand. Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,231.0
57,57,82680,46665500,Urban Oasis,70191031710,verified,Gina,Brooklyn,Fort Greene,40.68531,-73.97451,United States,US,True,strict,Private room,2022.0,1005,$201 ,1.0,152.0,2.0,2.0,41.0,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.",41.0
58,58,20739,12455486,One bedroom by Lincoln Center,89540801630,verified,Christopher,Manhattan,Upper West Side,40.77406,-73.98252,United States,US,True,moderate,Entire home/apt,2021.0,171,$34 ,3.0,2.0,1.0,2.0,0.0,"We have ample off-street parking but if you have a car let us know and we will be in touch with you about parking. Please be careful not to drive or walk in the driveway for 233 Savin Hill Avenue. Check in time is 2 PM, check out time is 10 AM.  Guests who arrive early can drop off their luggage after 10 AM. We are unable to accommodate arrivals earlier than 10 AM.  Guests who need to stay after the check out time are welcome to use the common area on the first floor for luggage storage. NO SMOKING in the house or anywhere on the property. No Pets.",0.0
59,59,37159,21524252,Delightful Private Room X,24104357198,unconfirmed,Digna,Brooklyn,Bedford-Stuyvesant,40.69072,-73.95026,United States,US,False,strict,Private room,2019.0,489,$98 ,30.0,13.0,5.0,4.0,336.0,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.",336.0
60,60,35945,20853760,Cozy apartment separated bedroom - Near Manhattan,38496494341,verified,Simon,Brooklyn,Fort Greene,40.68803,-73.973,United States,US,True,moderate,Entire home/apt,2022.0,115,$23 ,2.0,8.0,5.0,1.0,14.0,"This room is the perfect fit for you if you're looking for a cheap and quick few night stay! The house is laid back - smoking is allowed on the back porch, you will have access to use our refrigerator - but please bring your own food, towels will be provided, the kitchen is stocked with appliances as well. Because the space is shared with other roommates expect you may see them and keep noise and interaction to a respectful level :)",14.0
61,61,65066,36937288,Private Bedroom/ Retro large Apt 15 mins to City!,63650982533,verified,Eibhlin,Brooklyn,Bedford-Stuyvesant,40.69902,-73.94112,United States,US,True,strict,Private room,2019.0,133,$27 ,30.0,1.0,4.0,11.0,278.0,,278.0
62,62,2630,2453885,Family-Friendly 3 BR in Cobble Hill,6461214555,unconfirmed,Jennifer,Brooklyn,Carroll Gardens,40.68298,-73.99171,United States,US,True,moderate,Entire home/apt,2017.0,1046,$209 ,1.0,2.0,4.0,1.0,357.0,"No smoking, no parties. Quiet building. Sorry, no pets.",357.0
63,63,36112,20945994,"Home For Medical Professionals - ""The Fossa""",81570391047,unconfirmed,Stat,Brooklyn,East Flatbush,40.65438,-73.93676,United States,US,True,moderate,Private room,2004.0,870,$174 ,30.0,1.0,2.0,43.0,304.0,"You will be sharing a bathroom, so you must be considerate of time spent in the bathroom in the morning when getting ready. If you use the kitchen, please put the dirty cups, bowls, plates, and silverware in the dirty dishes tub, and hand wash all of the pots, pans, and cooking tools you use. Please clean up any mess you may have made. Remember to turn on the fan when using the stove or oven so the fire alarm does not go off from the steam! Please only smoke outside, away from the apartment building, and dispose of your cigarettes responsibly. Checkout: Checkout is at 11:00 am, please inquire if you would like to check out later or leave your bags with us for the day. If we are not awake/home when you leave, please leave the passes on the desk in your room, lock the front door behind you, and put your keys in the lock box behind the front stair case.",304.0
64,64,87583,49373427,Entire Spacious Artist Apartment,60119966424,verified,Marco,Manhattan,Washington Heights,40.83625,-73.93915,United States,US,False,moderate,Entire home/apt,2014.0,455,$91 ,2.0,10.0,2.0,1.0,0.0,,0.0
65,65,96288,54181198,Stunning Apartment in Heart of Williamsburg,40732459954,verified,Joey,Brooklyn,Williamsburg,40.7197,-73.95745,United States,US,False,strict,Entire home/apt,2015.0,835,$167 ,3.0,3.0,5.0,1.0,0.0,No Smoking ,0.0
66,66,91110,51321389,Private room in a 3BR in Park Slope,5832738064,unconfirmed,David,Brooklyn,Park Slope,40.68203,-73.97834,United States,US,True,moderate,Private room,2009.0,868,$174 ,4.0,0.0,4.0,1.0,0.0,Female first please. Please keep the space quiet and clean.,0.0
67,67,17552,10695306,Bright chic room in Clinton hill,84430196467,unconfirmed,Lisa,Brooklyn,Clinton Hill,40.68366,-73.96563,United States,US,True,flexible,Private room,2018.0,342,$68 ,7.0,10.0,4.0,1.0,0.0,"1. Please let me know  ahead your arrival, checking out time and if you will need a parking spot, so I can plan accordingly. 2. Please keep in mind that the checking in is any time after 4 pm and checking out is by 11 am. Earlier check in and late check out must be arranged with me in advance.  3. I request the guest to be respectable and quiet specially after 10 pm. There's absolutely no parties,pets and smoking not allowed.  Please shut off all lights and electrical appliances including AC when you are not using the premises and be sure that the entry door is locked all the time.",0.0
68,68,24391,14472485,Private Room for 1 with Balcony! (004),27932824668,verified,Simranjeet,Staten Island,Concord,40.60732,-74.08709,United States,US,False,flexible,Private room,2008.0,714,$143 ,2.0,36.0,5.0,7.0,286.0,"No smoking  and  Please respect each others space . When leaving out your space please dress respectful to other guess  though out the house . ( example , if you are in the house please wear a Robe of some sort .",286.0
69,69,67123,38073369,Private Room in Charming Fort Greene Brownstone,1421420822,verified,Jonathan,Brooklyn,Fort Greene,40.68462,-73.97688,United States,US,False,strict,Private room,2005.0,733,$147 ,30.0,24.0,3.0,1.0,0.0,,0.0
